"cfr.data.age1","cfr.data.age2","cfr.data.age3","cfr.data.age4","cfr.data.age5","cfr.data.agelt6"
0,0.0175438596491228,0,0.0434782608695652,NA,0.0072463768115942
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0.05,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0.0123456790123457,0,0,0,NA,0.00719424460431655
0,0.0317460317460317,0,0,NA,0.0144927536231884
0,0,0,0.0714285714285714,NA,0
0,0,0,0,NA,0
0.0131578947368421,0,0,0,NA,0.00757575757575758
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0112359550561798,0,0,0,0,0.00699300699300699
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0217391304347826,0,0,0.0689655172413793,NA,0.0120481927710843
0.0126582278481013,0,0,0,NA,0.00680272108843537
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0144927536231884,0,0,NA,0.00645161290322581
0,0.0307692307692308,0,0,NA,0.0130718954248366
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0.010989010989011,0.0294117647058824,0,0,0,0.0188679245283019
0,0,0,0,0,0
0,0,0,0,0,0
0,0.0377358490566038,0,0.137931034482759,NA,0.015748031496063
0,0.0188679245283019,0,0.0714285714285714,NA,0.00757575757575758
0,0.02,0,0.0666666666666667,NA,0.008
0,0.0384615384615385,0,0.05,NA,0.0153846153846154
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0246913580246914,0,0,0,NA,0.0141843971631206
0,0,0,0,NA,0
0.0125,0,0,0,NA,0.00694444444444444
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0.03125,0,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0,NA,0
0,0.0136986301369863,0,0,1,0.00591715976331361
0,0,0,0.115384615384615,NA,0
0,0.0163934426229508,0,0.0357142857142857,0,0.00617283950617284
0,0,0,0,NA,0
0.0105263157894737,0.0151515151515152,0,0,0,0.0124223602484472
0,0,0,0,NA,0
0,0,0,0,0,0
0.0444444444444444,0,0,0,NA,0.0268456375838926
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0.0555555555555556,NA,0
0,0,0,0,NA,0
0.0253164556962025,0,0,0,NA,0.0148148148148148
0,0,0,0,1,0
0.0112359550561798,0,0,0.0666666666666667,NA,0.00645161290322581
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0357142857142857,0,0,0.0357142857142857,NA,0.0202702702702703
0.027027027027027,0,0,0,NA,0.015748031496063
0,0,0,0,NA,0
0,0.032258064516129,0,0,NA,0.0145985401459854
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.0298507462686567,0,0,1,0.0136054421768707
0,0.0441176470588235,0,0,NA,0.01875
0,0.0588235294117647,0,0.04,NA,0.0289855072463768
0,0.0158730158730159,0.04,0,NA,0.00662251655629139
0,0,0,0,0,0
0.0121951219512195,0,0,0.0645161290322581,NA,0.00684931506849315
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0.0588235294117647,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0.666666666666667,0
0,0,0,0,NA,0
0,0.0806451612903226,0,0,0,0.034965034965035
0.0120481927710843,0.1,0,0,NA,0.0522875816993464
0,0.0615384615384615,0.0588235294117647,0.0454545454545455,NA,0.0273972602739726
0,0.0634920634920635,0,0,NA,0.0272108843537415
0,0.0714285714285714,0,0,NA,0.0335570469798658
0,0.0138888888888889,0,0,NA,0.00662251655629139
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0135135135135135,0,0,0,NA,0.00709219858156028
0,0,0.0454545454545455,0,NA,0
0.0102040816326531,0,0,0,NA,0.00595238095238095
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0158730158730159,0,0,NA,0.0072463768115942
0,0.0149253731343284,0,0,1,0.00675675675675676
0,0,0,0.0333333333333333,NA,0
0.0104166666666667,0,0,0,0,0.00625
0,0,0,0,NA,0
0,0,0,0,NA,0
0.03125,0,0,0.0540540540540541,0,0.0185185185185185
0,0,0,0,0,0
0.0116279069767442,0,0,0,NA,0.00666666666666667
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0232558139534884,0,0,0,0,0.0140845070422535
0,0,0.0625,0,0,0
0,0.0172413793103448,0,0,NA,0.0072992700729927
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.025974025974026,0,0,NA,0.0123456790123457
0,0.0535714285714286,0,0,NA,0.0222222222222222
0,0.0943396226415094,0,0,NA,0.0381679389312977
0,0.0882352941176471,0,0,NA,0.0416666666666667
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0147058823529412,0,0,NA,0.00689655172413793
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0.0163934426229508,0,0.15,NA,0.00704225352112676
0.0379746835443038,0,0,0.0454545454545455,NA,0.0236220472440945
0.0126582278481013,0,0,0,NA,0.00740740740740741
0,0,0,0,NA,0
0.0128205128205128,0,0,0,NA,0.00704225352112676
0,0,0,0,NA,0
0.0108695652173913,0.0151515151515152,0.0526315789473684,0,1,0.0126582278481013
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,NA,0
0.0105263157894737,0,0,0,0,0.00662251655629139
0,0,0,0,1,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0.05,0.0454545454545455,0,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0,NA,0
0,0,0,0,0,0
0.0117647058823529,0,0,0,NA,0.00704225352112676
0,0,0,0.15,NA,0
0,0,0,0.0857142857142857,NA,0
0,0.0895522388059701,0,0,NA,0.038961038961039
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0.032258064516129,NA,0
0,0.0144927536231884,0,0.103448275862069,NA,0.0065359477124183
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0106382978723404,0,0,0,NA,0.00598802395209581
0,0,0.037037037037037,0,NA,0
0,0,0,0,NA,0
0,0.0357142857142857,0,0,NA,0.0151515151515152
0,0,0,0,NA,0
0.0133333333333333,0.0588235294117647,0,0,NA,0.0317460317460317
0,0.0357142857142857,0,0.1,0,0.0149253731343284
0,0,0,0.05,NA,0
0,0,0,0,1,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0588235294117647,0,0,NA,0.0268456375838926
0.0140845070422535,0,0,0,NA,0.00813008130081301
0,0,0,0,0,0
0,0,0,0.0909090909090909,NA,0
0,0.0454545454545455,0,0,NA,0.0169491525423729
0,0.0161290322580645,0,0,NA,0.00719424460431655
0,0.0563380281690141,0,0,0,0.0275862068965517
0,0.0983606557377049,0,0.0434782608695652,NA,0.0447761194029851
0,0.101694915254237,0,0,NA,0.0431654676258993
0,0,0,0,NA,0
0,0,0,0.1,NA,0
0,0,0,0.0434782608695652,NA,0
0,0.03125,0,0,NA,0.0143884892086331
0,0,0,0.0869565217391304,NA,0
0,0.0153846153846154,0,0.0869565217391304,NA,0.00649350649350649
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0192307692307692,0.037037037037037,0,NA,0.00757575757575758
0,0.0327868852459016,0,0,NA,0.0133333333333333
0,0.0317460317460317,0.0625,0,NA,0.0132450331125828
0,0.09375,0,0,NA,0.0422535211267606
0,0.0769230769230769,0,0,NA,0.037037037037037
0,0.0508474576271186,0,0,NA,0.0230769230769231
0,0.05,0,0,NA,0.0214285714285714
0,0.0422535211267606,0,0.0476190476190476,NA,0.0204081632653061
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0153846153846154,0,0,NA,0.00680272108843537
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0.105263157894737,NA,0
0,0,0,0,NA,0
