"CFR_scenario_names","deaths_no_CFR_scenarios","deaths_llAb_CFR_scenarios","ICER_CFR_scenarios"
"Li 2020, age-gradient",135.995188077585,104.629734308928,596.693195816016
"Li 2020, without age-gradient",114.260228715208,92.464378898174,852.98000469316
"PERCH PIA, Mali",154.635160275219,138.619939920815,1151.82207210465
"Li 2022, CFR by age from LICs",206.860335239746,160.967140878573,409.779317240305
"PERCH conventional, Mali",826.43431238444,692.571671188931,141.458728408085
