"scenario","deaths, status quo, LB","deaths, status quo, UB","deaths, llAb, LB","deaths, llAb, UB","ICER, llAb, LB","ICER, llAb, UB"
"Li 2020, age-gradient",58.9538293275199,208.312026485675,45.5445180211098,159.391960472486,351.611835117214,1600.33983400393
"Li 2020, without age-gradient",49.9871139770035,175.377891573955,40.3452907227938,141.249702227214,506.238572006363,2201.84848212975
"PERCH PIA, Mali",0,324.075086841676,0,270.679128427808,241.058281035123,69468.1352443307
"Li 2022, CFR by age from LICs",75.9133703908524,319.33529268164,65.6861666376087,248.207738560122,241.966488549407,2581.21372840556
"PERCH conventional, Mali",318.952796123666,1318.76221700166,258.106139772382,1131.22716137329,77.4464167187497,480.628566635843
